,Name,Country,GamesPlayed,Goals,Assists,Points,PlusMinus,ShotsOnGoal,GameWinningGoals,ShootingPercentage,AvgPlusMinus,in_HOF
926,"Landeskog, Gabriel",Sweden,82,22,30,52,20,270,5,0.08148148148148150,0.24390243902439000,0
598,"Grabner, Michael",Austria,174,59,36,95,-3,465,7,0.12688172043010800,-0.017241379310344800,0
1261,"Nodl, Andreas",Austria,175,15,20,35,-8,201,2,0.07462686567164180,-0.045714285714285700,0
1794,"Vanek, Thomas",Austria,547,230,217,447,35,1516,39,0.1517150395778360,0.06398537477148080,0
858,"Koltsov, Konstantin",Belarus,144,12,26,38,-42,199,3,0.06030150753768840,-0.2916666666666670,0
871,"Kostitsyn, Andrei",Belarus,398,103,119,222,15,826,20,0.12469733656174300,0.03768844221105530,0
872,"Kostitsyn, Sergei",Belarus,307,64,97,161,28,372,8,0.17204301075268800,0.09120521172638440,0
3,"Adams, Craig",Brunei Darussalam,751,46,87,133,-64,748,6,0.06149732620320860,-0.085219707057257,0
2,"Acton, Keith",Canada,1023,226,358,584,-24,1690,29,0.13372781065088800,-0.02346041055718480,0
4,"Adams, Greg",Canada,545,84,143,227,1,696,5,0.1206896551724140,0.001834862385321100,0
5,"Adams, Greg",Canada,1056,355,388,743,-48,2326,31,0.15262252794497000,-0.045454545454545500,0
10,"Aivazoff, Micah",Canada,92,4,6,10,-9,66,0,0.06060606060606060,-0.09782608695652170,0
14,"Allison, Jason",Canada,552,154,331,485,17,994,26,0.15492957746478900,0.030797101449275400,0
15,"Allison, Mike",Canada,499,102,166,268,31,558,12,0.1827956989247310,0.06212424849699400,0
16,"Allison, Ray",Canada,238,64,93,157,51,454,5,0.14096916299559500,0.21428571428571400,0
19,"Anderson, Glenn",Canada,1129,498,601,1099,201,3108,85,0.16023166023166000,0.17803365810451700,1
20,"Anderson, John",Canada,814,282,349,631,5,2006,41,0.14057826520438700,0.006142506142506140,0
24,"Anderson, Perry",Canada,400,50,59,109,-56,412,4,0.12135922330097100,-0.14,0
25,"Anderson, Ron",Canada,251,28,30,58,-26,374,3,0.0748663101604278,-0.10358565737051800,0
26,"Andreychuk, Dave",Canada,1639,640,698,1338,38,4556,77,0.14047410008779600,0.023184868822452700,1
27,"Andrea, Paul",Canada,146,30,48,78,-34,250,5,0.12,-0.2328767123287670,0
28,"Andruff, Ron",Canada,153,19,36,55,-39,244,1,0.0778688524590164,-0.2549019607843140,0
29,"Angotti, Lou",Canada,469,82,154,236,-4,682,16,0.12023460410557200,-0.008528784648187630,0
32,"Antoski, Shawn",Canada,183,3,5,8,-20,92,1,0.03260869565217390,-0.1092896174863390,0
34,"Apps, Syl",Canada,727,183,423,606,41,1505,22,0.12159468438538200,0.05639614855570840,0
35,"Archibald, Dave",Canada,323,57,67,124,-75,502,8,0.11354581673306800,-0.23219814241486100,0
37,"Armstrong, Colby",Canada,439,87,117,204,23,669,12,0.13004484304932700,0.05239179954441910,0
38,"Armstrong, Derek",Canada,477,72,149,221,-2,659,9,0.10925644916540200,-0.0041928721174004200,0
39,"Armstrong, George",Canada,223,44,70,114,15,414,7,0.10628019323671500,0.06726457399103140,1
40,"Arnason, Chuck",Canada,401,109,90,199,-71,947,11,0.11510031678986300,-0.1770573566084790,0
42,"Arniel, Scott",Canada,730,149,189,338,-11,1088,19,0.13694852941176500,-0.015068493150684900,0
43,"Arnott, Jason",Canada,1244,417,521,938,81,3460,64,0.12052023121387300,0.06511254019292610,0
46,"Asham, Arron",Canada,756,92,114,206,-39,844,9,0.10900473933649300,-0.051587301587301600,0
47,"Ashby, Don",Canada,188,40,56,96,-21,269,6,0.14869888475836400,-0.11170212765957400,0
48,"Ashton, Brent",Canada,998,284,345,629,-59,1929,29,0.1472265422498700,-0.05911823647294590,0
49,"Atcheynum, Blair",Canada,196,27,33,60,-21,264,5,0.10227272727272700,-0.10714285714285700,0
50,"Atkinson, Steve",Canada,302,60,51,111,-52,545,4,0.11009174311926600,-0.17218543046357600,0
51,"Aubin, Serge",Canada,374,44,64,108,-45,452,7,0.09734513274336280,-0.12032085561497300,0
52,"Aubry, Pierre",Canada,202,24,26,50,-20,168,2,0.14285714285714300,-0.09900990099009900,0
54,"Audette, Donald",Canada,735,260,249,509,-17,1911,45,0.1360544217687080,-0.02312925170068030,0
55,"Avery, Sean",Canada,580,90,157,247,16,1167,15,0.07712082262210800,0.027586206896551700,0
57,"Babych, Wayne",Canada,519,192,246,438,-28,1294,20,0.14837712519319900,-0.05394990366088630,0
61,"Backstrom, Ralph",Canada,418,116,155,271,-13,1040,21,0.11153846153846200,-0.03110047846889950,0
62,"Bailey, Garnet",Canada,568,107,171,278,-75,887,12,0.12063134160090200,-0.13204225352112700,0
63,"Bailey, Josh",Canada,291,47,73,120,-32,392,5,0.11989795918367300,-0.10996563573883200,0
64,"Baker, Jamie",Canada,404,71,79,150,-50,586,8,0.12116040955631400,-0.12376237623762400,0
65,"Balon, Dave",Canada,434,120,140,260,23,820,19,0.14634146341463400,0.052995391705069100,0
66,"Barber, Bill",Canada,903,420,463,883,316,3250,54,0.12923076923076900,0.34994462901439600,1
67,"Barber, Don",Canada,115,25,32,57,-6,195,4,0.1282051282051280,-0.05217391304347830,0
68,"Barch, Krys",Canada,304,12,19,31,-7,131,3,0.0916030534351145,-0.023026315789473700,0
69,"Barnaby, Matthew",Canada,834,113,187,300,5,1006,15,0.11232604373757500,0.005995203836930460,0
70,"Barnes, Stu",Canada,1136,261,336,597,-24,2143,50,0.12179188054129700,-0.02112676056338030,0
71,"Barr, Dave",Canada,614,128,204,332,84,793,14,0.1614123581336700,0.13680781758957700,0
72,"Barrie, Len",Canada,184,19,45,64,6,165,3,0.11515151515151500,0.03260869565217390,0
74,"Bassen, Bob",Canada,765,88,144,232,2,833,10,0.1056422569027610,0.00261437908496732,0
76,"Bathgate, Andy",Canada,150,35,68,103,-22,502,7,0.0697211155378486,-0.14666666666666700,1
78,"Baumgartner, Ken",Canada,552,9,30,39,-65,210,1,0.04285714285714290,-0.11775362318840600,0
79,"Bayda, Ryan",Canada,179,16,24,40,-20,244,2,0.06557377049180330,-0.11173184357541900,0
80,"Beagle, Jay",Canada,82,7,3,10,-8,91,2,0.07692307692307690,-0.0975609756097561,0
82,"Beech, Kris",Canada,198,25,42,67,-37,263,0,0.09505703422053230,-0.18686868686868700,0
83,"Beers, Eddy",Canada,250,94,116,210,19,575,7,0.1634782608695650,0.076,0
84,"Begin, Steve",Canada,488,52,48,100,-19,690,7,0.07536231884057970,-0.0389344262295082,0
85,"Belak, Wade",Canada,100,1,2,3,-3,36,0,0.027777777777777800,-0.03,0
86,"Belanger, Eric",Canada,794,138,217,355,-23,1319,19,0.10462471569370700,-0.028967254408060500,0
87,"Belanger, Jesse",Canada,246,59,76,135,-20,408,8,0.14460784313725500,-0.08130081300813010,0
88,"Belanger, Ken",Canada,248,11,12,23,-19,112,2,0.09821428571428570,-0.07661290322580650,0
89,"Beleskey, Matt",Canada,167,18,25,43,-22,256,3,0.0703125,-0.1317365269461080,0
90,"Beliveau, Jean",Canada,261,108,167,275,67,782,13,0.13810741687979500,0.2567049808429120,1
91,"Bell, Mark",Canada,450,87,95,182,-45,848,5,0.10259433962264200,-0.1,0
92,"Bellows, Brian",Canada,1188,485,537,1022,-125,3588,58,0.13517279821627600,-0.10521885521885500,0
